A-(1)	"ئەی"
A-Programming-Language-	زمانی پرۆگرامکردنی "ئەی"،
A+	ئەی‌پڵەس
a-bus	تێپەڕگەی "ئەی"
a-ring-(=-a-circle)	"ئەی‌‌‌‌ڕینگ"، ئەی‌بازنه، ئای ئاڵقەدار، ئای بازنەدار‌
a2b	ئەی‌توو‌بی
A4	ئا٤، ئاچوار
A5	ئا٥، ئاپێنج
A:	ئا جووتخاڵ
AAA	تریپڵ ئەی، ڕەسەنێتی، دەسەڵاتپێدان و ژمێریاری
AAAI	تریپڵ‌ئەی‌‌ئای، کۆمەڵەی ئەمریکی بۆ هزری دەستکرد
AAC	ئە‌ی‌ئەی‌سی
AB-roll	خلۆریی ئەی‌بی
abacus	چۆرت، ئەژمێر
abandon	وازلێهێنان. وەلانان
abandon-text	وازلێهێنانی دەق
abandonware	فڕێواڵە، بەرنامەواڵەی وازلێهێنراو
abbreviate	کورتەکردنەوە، کورتکردنەوە
abbreviated	کورتە
abbreviated-addressing-	ناونیشانپێدانی کورتە
abbreviation-	١ـ کورتکردنەوە ٢ـ کورتە، کورتکراوه
abbreviations	١ـ فەرماننامەی کورتەکان ٢ـ کورتەکان
abbreviation[s]-file	پەڕگەی کورتەکان
ABC	١ـ ئەلفبێ٢ـ بنەماکان ٣ـ پەڕتووکی سەرەتایی ٤ـ ئەلفبێی کار، سەرەتاکانی کار ٥ـ ئەی‌بی‌سی (کۆمپیوتەری ئاتانازۆف‌ـ بێڕی، لە مێژووی کۆمپیوتەردا)
abend-(=-abnormal-end-=-abnormal-termination)	١ـ "ئابێند"، دواییهاتنی نائاسایی، کۆتاییپێهاتنی نائاسایی  ٢ـ کۆتاییپێهێنانی نائاسایی
abend-recovery-program	بەرنامەی چێکەرەوەی "ئابێند"
ability	توانا، لێهاتوویی
ABIOS	ئەی‌بایووز، ئەی‌بی‌ئای‌ئۆ‌ئێس
abnormal	ناوازە، نائاسایی، ناسروشتی
abnormally	نائاسایییانە، ناسروشتییانه
abort	١ـ پچڕاندن، کوژاندنەوە ٢ـ لابردن، وەستاندن، كۆتاییپێهێنان (کۆتاییپێهێنانی بەئەنقەستی جێبەجێکردنی بەرنامە لەبەر سەرهەڵدانی هەڵە) ٣ـ کۆتاییپێهاتن (کۆتاییپێهاتنی جێبەجێکردنی بەرنامە لەلایەن سیستەمی کارپێکردنەوە)
about...-	سەبارەت...
abridge	کورتکردنەوە
abridged	کورتەیی (ئاوەڵناو)
abridged-version	وەشانی کورتەیی (لە پەڕتووک و دراوەدا‌)
abridgement	کورتکاری، پوختەکاری
abrupt	لەپڕ، لەناکاو، کوتوپڕ
abscissa	ڕایەڵی ئاسۆیی، پۆ
absolute	١ـ ڕەها، بێپایان، بێجڵەو، بێسنوور، بەربەرەڵا ٢ـ تەواو
absolute-address-(actual-address-=-machine-address-=-direct-address)	ناونیشانی ڕەها، ناونیشانی پەتی، ناونیشانی ڕاستەقینە، ناونیشانی ماشینی، ناونیشانی فیزیکی
absolute-addressing	ناونیشانپێدانی ڕەها
absolute-assembler	ئەسمبلەری ڕەها
absolute-code-(1)-(=-absolute-program)	بەرنامەی ڕەها، بەرنامەی ماشینی
absolute-code-(2)	کۆدی ڕەها، نهێنیی ڕەها، نهێنیی کردەی ڕەها
absolute-disk-address	ناونیشانی ڕەهای دیسک، ناونیشانی فیزیکیی دیسک
absolute-error	هەڵەی ڕەها، هەڵەی پەتی
absolute-instruction-(=-actual-instruction)	ڕێکارنامەی ڕەها، ڕێکارنامەی پەتی
absolute-loader	بارکەری پەتی
abstract-(1)	پوخته، کورته
abstract-(2)	١ـ ڕووت، نەبینراو، نادیار‌، لێدابڕاو ٢ـ پوختەکردن، کورتکردنەوە ٣ـ ڕووتکردن، بەڕووتی
abstract-data-type	جۆرەـ‌ دراوەی ڕووت
abstract-specification	تایبەتمەندیی ڕووت
abstractor	پوختەنووس، پوختەساز
accelerate	١ـ تاودان، لەزپێدان، خێراکردن، گوڕپێدان ٢ـ تاوسەندن، لەزگرتن، گوڕگرتن
accelerated	تاودراو، تاوگرتوو، لەزگرتوو، تاودار
acceleration	تاو، لەز، گوڕ، خێرایی
acceleration-function	پابەندی تاو
accelerator	تاودەر
acceptance	وەرگرتن، وەرگیران
acceptance-number-(=-ACCN)	ژمارەی وەرگیران
acceptance-test	ئەزموونی وەرگیران، تاقیکردنەوەی وەرگیران
acceptor	وەرگر
access	١ـ چوونەناو، دەستپێگەیشتن، ڕێی چوونەژوورەوە یاتێپەڕبوون ٢ـ مافی چوونەناو یان چوونەژوورەوە
access-arm	باسکی دەستپێگەیشتن، قۆڵی دەستپێگەیشتن
access-barred	دەستپێگەیشتنی نەلواو، دەستپێگەیشتنی ڕێپێنەدراو
access-charge	مزی دەستپێگەیشتن
access-code-(=-password)	تێپەڕوشه، تێپەڕەوشە
accessibility	توانای دەستپێگەیشتن، دەستپێگەیشتەنێتی، توانای چوونەژوورێتی
account-(=-user-account)	هەژمار، هەژماری بەکارهێنەر
accountancy	ژمێریاری
accumulator-	كۆكەر
acoustic-(=-acoustical)	١ـ دەنگی ٢ـ دەنگناسی، دەنگزانی فەرماننامەی بێناونیشان، ڕێکارنامەی بێناونیشان
acquire	بەدەستهێنان (ی مافی لەچاپدانەوە)، کڕینی ماف (ی لەچاپدانەوە)
acquiring-editor	پێداچووی مافی لەچاپدانەوە
Acrobat	ئەكروبات
acronym	سەروشە
action	کردار، کار، کردە، کردەوە
active	چالاك، كارا
ActiveX	ئەکتیڤ‌ئێکس (‌ActiveX)
AD-[After-Dark-image]	(جۆرە درێژکراوەیەکی پەڕگە)
Ada-(=-ADA)	ئادا، ئێیدا
Ada-language	زمانی ئادا، زمانی ئێیدا
Ada-programming	بەرنامەکردنی‌ ئادا، بەرنامەکردن بە زمانی ئێیدا
adapt	سازکردن، گونجاندن
adapter	سازكەر، گونجێنەر
add	خستنەسەر، کۆکردنەوه، پێوەنان
add-on	١ـ پێوەکراو، زیاترکراو، سەرخراو، زێدەکراو ٢ـ زیاترکەر، پێزیادکەر، وەسەرخەر
address	ناونیشان
address-bar	تووڵی ناونیشان
address-bus	تێپەڕگەی ناونیشان
addressless-instruction-(=-zero-addressed-instruction)	فەرماننامەی بێناونیشان، ڕێکارنامەی بێناونیشان
adminstration	بەڕێوەبەری، بەڕێوەبەرایەتی، فەرمانگە
adminstrator	بەڕێوەبەر
advanced	پەرەسەندوو
adware	بانگەشەواڵە، پرۆگرامی بانگەشه
alias	ناسراو بە، نازناو، ناوی خوازیار، خوازناو
aliasing	١ـ خاوڕۆیی ٢ـ زیگزاگ، لابەلا
align	هاوڕێکی، هاوهێڵی، هاوتەختی، لاڕێككردن، لاگرتن
alignment	لاگرتن، ڕیزكردن.
alpha	ئالفا
alphanumeric	ئەلفژمارەیی
alternate	لەبری، جێگرەوە، بژارە
analog-(1)-	لێکچوو، هاویەک، هاوتا، هاوشێوە، بەرانبەر
analog-(2)-	بەراوردی، پێوانەیی، بەراوردکارانە (ناڕەنووسی)
analog-(3)-	بەراوردی، ئامێری بەراوردی، ئامێری پێوانەیی، ئامێری بەراوردکارانە (لە بەرانبەر "ئامێری ڕەنووسی")
analog-adder	پێزیادکەری پێوانەیی
analysis	شیكردنەوه، شیتەڵکاری
anchor	لەنگەر
animation	جووڵاو، بزێو
annotation	یاداشت، پەراوێزنووسی
anonymous	نەناسراو، نەزانراو، بێناو، کەسنەناس
antiglare	دژەبریقە
antivirus	دژەڤایرۆس
Apache	ئەپاچی
APL-	ئەی‌پی‌ئێڵ
append	پاشكۆكردن، لەتەكخستن
Apple	"ئەپڵ"
Apple-Computer-(=-Apple-Macintosh-Computer-=-Macintosh-Computer)	کۆمپیوتەری ئەپڵ، پێژمێری ماکینتۆش
appliance	ئامێر، کەرەستە، دەزگا
appliance-computer	پێژمێری ئامادە، کۆمپیوتەری ئامادەی کار
applicabillity	بەکاربەریخوازی
applicable	بەکاربەریخواز
applicant	داواکار، داخواز
application-(1)	بەرنامەی بەکاربەری، نەرمەواڵەی بەکاربەری، بەرنامە، نەرمەواڵە
application-(2)	١ـ داوانامە، داخوازنامە ٢ـ پرۆگرام (ی پێژمێر) ٣ـ بەکاربەری، بەکارهێنان، کارپێکردن، خستنەکار ٤ـ کاری بەکاربەریی کۆمپیوتەر، کاری کردەنی، کارێ بکرێ ئەنجام ببێت
application-developer	بەرهەمهێنانی بەرنامەی بەکاربەری
application-development-language	زمانی بەرهەمهێنانی بەرنامەی بەکاربەری
application-development-system	سیستەمی بەرهەمهێنانی بەرنامەی بەکاربەری
application-file	پەڕگەی بەکاربەری
application-form	فۆرمی داوانامە، فۆرمی داخوازنامە
application-generator	دینەمۆی بەرنامە
application-icon	وێنۆچکەی بەکاربەری
application-package	گورزەی بەکاربەری، گورزەی نەرمەواڵەی بەکاربەری
application-program-	بنواڕه applications program
application-oriented-language	زمانی بەکاربەریخواز
applications-program	بەرنامەی بەکاربەری
applications-software	نەرمەواڵەی بەکاربەری
applications-terminal	کۆتاگەی بەکاربەری
applied	بەکاربەری، کردەنی، کردارەکی
applied-graphics	گرافیکی بەکاربەری، نیگارەسازیی بەکاربەری
apply	بەکاربردن
approach	نزیکبوونەوە، لێنزیکبوونەوە، چوون بەرەو
approval	١ـ پەسەندکردن، مۆرکردن، ڕەزامەندی ٢ـ  بەدڵبوون، پەسەندکردن ٣ـ ئافەرین
approve	١ـ پەسەندکردن، مۆرکردن ٢ـ بەلاوەباشبوون، ڕالەسەربوون
approximate	١ـ نزیک، لەیەکەوە نزیک ٢ـ وەک یەک، چونیەک ٣ـ نزیکەیی ٤ـ لێکچوون، لێککردن
approximation	١ـ لێکچوون، لێنزیکبوونەوە ٢ـ نزیکەیی
arbitrary	١ـ دڵویست، دڵخواز، بەمەیلی خۆ، لەڕووی ویستنەوە ٢ـ بێسەرووبەر، نابەجێ، لەخۆوە
arbitrary-constant	نەگۆڕی دڵویست، نەگۆڕی دڵخواز
architecture	تەلارسازی
archive	ئەرشیڤ
archived-(=-A)	ئەرشیڤی
area	١ـ ناوچە، هەرێم، شوێن ٢ـ ڕووبەر، ڕوو، پانتایی ٣ـ بەستێن، بوار
argue	١ـ بەڵگەهێنانەوە ٢ـ مشتومڕکردن، چەندوچۆنکردن
argument	١ـ بەڵگە ٢ـ مشتومڕ، دەمەقاڵێ
arithmetic	ژمێرەیی
array	ڕیز، ڕیزەك
arrow	تیر
ascending	هەڵچوون، بەرزبوون، بەرزەڕۆیی
ASCII	ئاسکی، ڕەمزی ئاسکی
ASCII-character	نووسەی ئاسکی
ASCII-character-set	کۆمەڵە نووسەی ئاسکی
ASCII-code	کۆدی ئاسکی
ASCII-file	پەڕگەی ئاسکی
ASCII-FTP-mode	دۆخە FTP ی ئاسکی
ASCII-keyboard	تەختەکلیلی ئاسکی
ASCII-string	ڕیزبەندی ئاسکی، ڕیزبەندی نووسەییی ئاسکی
ASCII-text	دەقی ئاسکی
ASP	لاپەڕە ڕاژەكارە کاراکان
assertion	١ـ سووربوون، داوا، خوازە، پێداگری ٢ـ دڵنیابوون
associate	هاوپەیوەند
at-(@)	ئالوول، ئاـ لوول
attachment	پاشكۆ
attempt	هەوڵدان
attribute	١ـ تایبەتمەندی، ئاكار، تایبەخۆ، پێناسە
audio	١ـ بیستەنی، بیستنی، ئاودیۆ ٢ـ دەنگ
Audio-frequency-(=-AF)	لە‌رەلەری بیستەنی
audit	پێداچوونەوە، لێپرسینەوە، پشكنین
authentication	ڕەسەنێتی
authorization-	ڕێپێدان، دەسەڵاتپێدان
authorized-user	بەكارهێنەری ڕێپێدراو، بەکارهێنەری دەسەڵاتپێدراو
auto-abstract	پوختەی کۆمپیوتەری
auto-scan	پشکنینی خۆکار
auto-	١ـ "خۆ"، "خۆکار" ٢ـ "کۆمپیوتەری"، "ماشینی" (پێشگر)
auto-answer	خۆوەڵام
auto-boot	خۆبووت، خۆوەکارخەر
auto-dialer-(=-auto-dial-=-autodial)	خۆژمارەگر
auto-repeat	خۆبارە، خۆپاتە
auto-stop	خۆوەست، خۆوەستان
autocode	١ـ خۆڕەمز ٢ـ بەرنامەی خۆکار ٣ـ بەرنامەی چێکردنی کۆمپیوتەری
autocorrect	ڕاستکردنەوەی خۆکار
autodial-(1)-(=-auto-dial)	١ـ ژمارەگری خۆکار ٢ـ ژمارەگرتنی خۆکار
autodial-(2)-(=-auto-dial)	خۆژمارەگر (لە مۆدێم و تەلەفۆندا)
autodial-modem	مۆدێمی خۆژمارەگر
AUTOEXEC.BAT	ئاوتۆـ‌ ئێگزێک ـ‌بەت
autofocus	ئاوتۆفوکوس، خۆمیقاتساز
autograph-(1)	واژۆ
autograph-(2)-(=-manuscript)	دەستنووس
Autograph-(3)-(=-dynamic-mathematics-software)	ئاوتۆگراف
autoidentifier	خۆناسکار
automate	١ـ خۆبەکاربەرین، بە خۆکارکردن ٢ـ کۆمپیوتەریکردن، ماشینیکردن
automatic	خۆكار، ئۆتۆماتیك
automation	خۆكاری
autoplay	خۆلێدان
autoresponder	خۆوەڵامدەر
autorestart	خۆدەستپێکردنەوە
autorun	خۆگەڕی
autosave-	خۆپاشەكەوت
AutoShapes	شێوەخۆكارییەكان
autotrack-	سۆراخكردنی خۆكار
avatar	"ئاڤاتار"
axis	تەوەرە، تەوەر
abandon	وازلێهێنان. وەلانان
abandon-text	وازلێهێنانی دەق
abandonware	فڕێواڵە، بەرنامەواڵەی وازلێهێنراو
abbreviate	کورتەکردنەوە، کورتکردنەوە
abbreviated	کورتە
abbreviated-addressing-	ناونیشانپێدانی کورتە
abbreviation-	١ـ کورتکردنەوە ٢ـ کورتە، کورتکراوه
abbreviations	١ـ فەرماننامەی کورتەکان ٢ـ کورتەکان
abbreviation[s]-file	پەڕگەی کورتەکان
